artist_mbid,spotify_id
e5148729-93fa-42f8-9e14-155a7b145987,3Mj7kskBT2nxay5h2KVesB
7672688a-87ae-46d0-a46d-c8e4cb3f0760,0lfAb4H9pkOv4lx6aWwoS7
9313ca10-6842-4314-8401-52071a176351,5XPW5vMGMW4tA1Z3qosShb
beb0d47d-d6a9-4140-bc5c-a67ee2070acb,1badJ5qBBvLuJ6qRqkRtR7
247f4da5-87e4-4aab-9c7b-375cc9f23f5c,29v45RglNZwfvww2KDb8q6
ab535032-2b22-48b0-896c-de96e160aa5d,2lmmMEs92JfR8cxLW2Zpqk
51c75878-10aa-42c6-a60e-2e913a8d7883,3QtuwUR04rBoKf5W4orppt
76ba5dd7-3064-48cd-b3e0-ac4d68bdd0e8,3XX4k7fPq9gcyZRDrbXfnS
8f2eb66e-7baf-4a04-95af-0a52f22d0257,3gkLqGRDA19txXCSKXq6Gx
774b6579-51a9-4578-bfa1-32998ed1ba94,2VlOaase4tkfsgQf5YPOlN
ede26c60-a4ec-434f-88a6-74f757b26a57,2jJeSUQeypN3jqAuoNx3Nv
1c344410-2784-475b-8bce-68e893df8e5c,10tE32qk7chXL3LwDlHycv
5f0f29f4-b705-4f4d-b147-092849b8b9c4,1ruRdyWeMcnliO3CPJ2gtA
1907a467-fabb-42be-9aaf-9baa488376bc,7hrleJxjf4KJbeiQirb6BL
1c19c3eb-21e7-4bbb-b8fe-b479aae744cd,1jKWawOHt46RsgABVxxO7o
da731089-cd34-4f6b-b882-9ebce8aef462,3GnXY89hWPhRNnxnHnaKMK
157b67f7-d229-4b96-be3c-309fe2e26e9a,6Z9iK220pst9ExbutivPI6
1d5347ac-a6ef-447e-8f56-8825ba6ece46,0z8Wd2cjacRkjQZ8BEZN6d
4f7cdfc7-4e46-4a57-bf0d-aa7127c47c68,3nmkZFOvLJkwj6r54ievPs
3319dc90-8c4c-4170-b82a-daef2a6e6f5b,5sHH3cRvSsonTDIjRTyKyl
726185da-171b-4e80-b821-2eac5acef6ed,0M898uhr3b4OPIUC4pse47
e123ee6c-f801-4cac-839b-2e9b3b626cea,2bX8yT5ryanu7ZM8DRJE2A
5cad62bb-d08e-4ed7-9b22-7c2026587fc4,1ULXG4gd6YSvdjuFBJ6sAA
7240a9e1-01d1-4322-b34a-ad573703f108,2U6gqwyl9F33YxawnFrZG7
73393ef8-ba42-4e17-866c-2c8acf5fa998,3mYbIK47UNTYkexhqoJOBN
020d7903-c073-4210-b77c-b3804c4878dd,1sHBsHEfGEQIuSbvyMB8jn
1b773510-5c1a-46ef-b3ff-15d24b604223,37b2JsJFH6zQ0968hr2FkL
b1d0e514-d927-44a7-90b2-9c34850ec6b2,1OZdAcOKIentgMYlNlXSNT
dedc82c2-ed74-434e-8a01-703a84179966,2bWmHhwTBuPiOsnSz9sjBC
5dbe59b0-a678-4301-8724-af79dc7f1606,2znlsLYmsxcWmzouD3zhmr
c315ec14-6871-4af7-b4a5-4cee25389763,6uA8p0e1AsjT1HpbAyPHko
d7613e57-4383-454a-8b26-b1e7c28cb740,7s4I6rDvTcdBDKElVbtsAN
c91e0e5a-4c76-45ff-bc77-5a1869c69206,3CiC24kIB0Dq0ntjkOR6Iw
7451c6e2-02f0-4158-904c-7f477683ce5e,6juuiuCv8jRHZOcvP2BqKp
cc142bca-f423-4add-8493-2b0f1caba57a,2cuxaDVwNlTUfnqIMLpTkn
075dc541-78f3-4c4b-9349-13a3be19c325,0cz823HlK1N6jNAIztyYHs
bbfbd6b6-b491-4416-b127-0ddb1d2ca09a,7nxk5CMYxMlS4o9czBVoTh
78dfbf62-0fa3-406e-9867-04dcafe18832,1NLGRMDHS1muBya9fthg8O
666f8541-3b13-4fe8-a30d-628596305fce,6ibPIgByjCH7qYPlBbN4Tr
bfdb87a6-6c40-4b4d-a330-bcb0f9b00389,3gwKd7NI5IhCG0fiEy5uux
e3d0db7c-0b05-4317-834a-48abd3b878f2,3wUpOiaLjwAZNregbC7CxO
3d6d6acd-d3a2-4f27-baf2-dd24695d0b2d,6QB8XoXvK4HDrrQQ2WD7qr
8a9ff792-1ec6-48fe-a406-ffd2532e6275,2o1O5OsjfgL7vhn8RwK0rT
6582c2ea-146b-4c2e-906b-6a443e2bf2ac,3N7CCwvNqPwF71zq4jmcql
8880c04f-e17d-48e6-bcb8-ed3b2af12e2f,14lMOFvZ67OL0CmG4o9m5C
f9698278-1edd-4b1a-99cb-8c17846c8bbf,6j0xHlzf4LLiIJGNHSjPVN
c4361994-d3f3-4ce1-9ef4-eb622d735318,4RFIQvl2qDMqTekAxX6zKC
9cfa6a66-d2e6-46fe-b055-d91b397d3977,1YLrCQC8gRomtIs7kc9Eyk
749e88bf-5ade-4c3d-92ed-527b0ce8ed2f,4NvFoSAgCEtyXJ69nlWjAT
561a129b-c57c-459b-8125-4c9b9957ebdf,0TRrnZuWfGiNNERRrB0ttA
3152edf1-3057-4145-acd5-595a8c1af381,4eEzkqhdfus2phKfM6aTzg
94c338ff-1985-4429-9dc8-997b61bb5932,5ndkK3dpZLKtBklKjxNQwT
75433c64-f96a-4454-9b62-2005fe59acbc,1miK7RIscxXIgQgHQ0G7ch
f637d7e0-7100-467e-b374-9b0df7e3249d,7M1z2JLKxmHxOSfiSoH8WZ
6dbe4a24-0dd3-4fdc-8243-8b3f605fdda6,0U4a3njJCkhLOj1alyerOi
0fdbe7d0-d779-4e5f-9f50-7bba2e2e2c1b,4MafaUTBscq5RpXqTSqCbf
27450e75-299d-4ba9-aac3-db82e1a16a8e,6J26kEm6dPwtwaBAVhPTB2
e5ef87a6-92bb-4353-a225-f1233798f7be,4S4jiXpNx8ahRN6MT9HwR1
f60be742-e7b2-4470-956d-4f9df6a61958,0usEhq5lEXMzlO3RWPp5Tu
7561ff6c-2ab7-4776-9a9a-662f23b2effc,21ojeH5LNADIGzJKc3hIlE
03e38604-afc8-4f63-a3b2-2cbd73aab612,6EUM9GFtnAwMz7sy3m5f3f
47435d42-7f8d-4288-bdb2-985e3c7f194f,3oAbjWINfcTSAuVUlXXMty
23e0b5b7-9de7-4583-b5ef-8680f44ad03a,1iWJ6wX9J6KdVRFv6mUrgG
5f3401a0-9161-4cd5-93f4-01aaac1535e1,0xMCuSqF7uPefaatWnEx7F
ff306d26-413b-4643-88fd-f0fdff80a1b8,5WJeXR9bK1uONIf6PBACIu
a663d7d0-754b-40e2-9ea3-3c6c39fd5937,1mG23iQeR29Ojhq89D5gbh
b819f12e-796c-40f3-baee-1657df0d6469,0IgqyBnmTWYYN4e8IjLb41
2f68ae94-f3bf-4ed5-82d3-9495f90568f3,3XfbViVU6Z8LKK1YkO4lOc
bccef0dc-a2ce-47e0-bb2a-2a536e1ac724,6WIXrNpbpGraLXs5vhEYJG
2b6c2118-2eaa-42bf-9bab-82a83516bcd0,7vH2y3wXXOnATvBI4ZmdVH
b6e6c494-e965-47bf-91e4-17daf87f7622,604ITkbrOU2dtnMMYwrfZK
6b4489b1-7bf8-43c3-b0cb-393b6bfee607,7GhGgxIAhzJxZXvF1bEYZ8
da61f87a-1309-477a-898b-687e695c7023,7nlzklc1xcsEDsXvXlhWJ2
ab446690-67cb-4f0c-8235-284ef236205a,7ffYTOTu3Z0t4a2A7515cL
62564a24-1b7e-4485-88d1-0c2dc0a749b6,1fUMEn4Yk7ZUloozE0fRLL
3d970002-2200-4e0b-81c3-7c14a1ef1308,7rtM2wPKQlFpsm0C4qJlDk
6ac4fc17-f624-4849-acb9-d604ae414394,09fqsjX41xtfPb5dJznRDr
58a67559-4895-4b8f-b011-d9009e823357,2pSvmWKhxW0Ging0Vr8Dlg
61bacb63-e0e3-416b-a536-d2b1244284e0,17WostYl0Ep0nyJmA0m2ds
ed79253a-0951-4409-9e7c-cf117a17ddff,5Js1ccQKQ0mXSEit8znjkg
69abb38e-8990-41de-80fe-e54b399c768c,3BJQYwsCdSNt0eD4XUu5DE
863dcf85-40ec-46a3-881b-55033631fed1,0xHXoShMJw3xDArjL8IHtt
ae6362d6-e1a3-4e31-b26f-e413d9e3d1c5,1JKTaFJeA76Tfu0GfQdXLP
3fe4c25e-6479-4228-9fd5-96617b8f65fe,769xcgZIrlBoh4TWeqBK8e
7e684249-7ac7-4794-8dc0-008fdf6cbe51,4tyZty9rLy4JVBuhK0juZa
ba5b9602-864b-44d2-9ab5-c503966e75fa,3LjXaKdmR71iVudvISVrrB
632db550-a8eb-4680-b93f-d6fa3aa2a4d9,6g7KhV5p6W6oK0gZJkZXZW
66d4b54b-77f1-4310-a45c-60972fb47ecc,3544ImlskUwZqWJTmqWUsa
beb84b38-7431-4a61-88f9-2e0a8a5dfa5d,1BNxGGpPOqqcectKSkEqkb
27470843-0ea1-4540-a614-e956de0211ca,4pVTHC0fGP57HJ7Wy6cbtt
13e4f5ac-3a72-4f81-a8aa-e7da9ee80822,20xK8nEhn71rTjjBNoR5nv
8d27a262-88ef-4c6c-a923-cfbba2e3a03a,1SIWRebg7AKRhztDGBysIg
14fbc4cf-1180-48d8-8c99-7c83cf9cd3fe,6C3p5tO24eyI7LtuHSvxol
e59b2cdc-378b-42e8-b87a-a022b5f9a549,1nca3OA1kKCpP6aPJcBL92
52429312-cf98-4ac7-a71a-e5024880d759,0NgdQNyMEbiVR0HBpzMptO
bd83eb7b-a301-4696-b886-8d6f616e165f,22I9QWygJ2IfxR855VsA3t
4a5574fc-8f7a-4789-b42b-5f6f3bf5d105,2cUcFZ87GepSry1SVXoEis
06d27be3-9176-49f1-bcc2-4af8455167d4,4k8m5RbGgjq2UDlYve5qNV
9b02dc5c-6d06-4883-9e89-8086d4b42364,2dw80Uni5l7wd9zZFn7Ltu
3e904023-557a-4cd8-8aec-bfebf68046de,5R874BNGBPyTMu2pxo834G
9d1b5faa-96b9-4061-b1e9-1fb9cd74ab66,3aM9H4QBnPUo6mnNVufAtN
24ae6f90-97eb-48ec-b259-7e5234a5ce9c,4Dgt4brudJR4ikEF5YY4cj
0e20aa32-5cea-4056-a7a5-4307bbf9cb4d,4OiRqHPxirRjHT1w8NvwMb
5b8806bd-5a18-423c-b046-b7a39bf9d680,2aM59sFaG7TmStSkVHbuUD
03705f29-d75b-4a5a-85cb-2df5d623fdbf,5wWlz5GR3MOimh3Sv6zA3E
b13d7021-f7fc-40d1-ae51-f83d176b5634,5auQPeqrOncPRuutwAyjSz
ca90c456-3e32-40a2-b0d6-84442fb359e7,0TorzrcTerTn7l5q9LVjmt
cb763f1f-4ce5-48f4-afed-d777b00e9105,5CpFtTFRlrQhPyout6eV2o
ce7dd542-166e-4d3d-842a-1dc1a4729248,308rengQaTapxWBn0scsQk
74cc1012-71a2-47e5-924d-bf132928129d,4gr9pv9DWAx8kPknFVe58r
33d700ce-064f-44f6-ab9e-60f9eed0fca1,62olK5zZHSgFUXGDykgBL8
6f5d3b5b-f35a-4845-90a9-be49a13d3852,04CoRKUxDINqeTUVKborzQ
66495cb6-7e96-4dae-abd7-a8ba614a49cd,1kEF2yBW097u8DWHGJfSav
f57990b0-cdc4-4f1d-ab34-e32834340d9c,7GxkHuCxqtPAVnpBTjObpn
9b4f08aa-2b47-4c66-a78d-0e430078e43a,4uDzgfctRSwoPSioU4Gb0K
a06e38d2-2510-4729-b731-56e83fb9dfcc,0dSxUQB8QwdBtb49kVMadW
7fb16fb7-ce0b-44ba-9c3d-5f1c5911cd23,2qYu4oMaUEAg64ZVlMhAI5
95c63737-790a-4d84-8146-697ab3ce6cc3,5HuRY0MuFfC0iSmP9kvUvR
537405e9-b7e4-4d04-ba05-cd77347e6707,6KjiNHnbm1CNrIN0z7wJtO
13bb1fda-ea63-4090-bf40-b291763c7d74,0lhTT3G4RqrEaqWcIDtt0G
4c124431-fab6-493c-8628-bcde9b1016ce,5oRMq4zDLE8IK3N8ovC0w4
c4e7031f-a5f0-476a-b1f0-1f3e8c573f4b,3AGvwnXbUo9LoAU2P5qYHB
8673c3f3-b3e6-4d13-9944-369b5724bcb2,3G0UGz2ulKDrTkl3g3qGJN
cd6f9000-a2d9-4757-b53d-3b536d6af36f,1U5zkI2XNuCMR219oZt3VV
4faaf8d6-c695-41fe-b82a-ec531b9aebc6,0gUsjVKHygvZgi27L2QViK
db7859c4-768f-4051-b77f-3e0df2dbbaaa,7xNiMQPoMI3bsPp6xuwU6x
d3659af0-6804-4d75-9e7b-b042893290d9,5visN0AzBV3XnPniKVP1Pm
e293e988-e778-40cb-a75f-fe6725126825,2Q6oahOPaxn2Tu9tl6dYG0
5ab05840-92f8-4582-9444-144e8944dfd6,0O8x3Y8peIvwHzCeiDiU7M
d8264ff6-8c80-44b3-919d-fbff6d91a5cf,2Xo4rTLaRywwgwTaIT0zPb
53c336fa-358f-4ce5-8681-ab7909922874,58AqJv0sDFPFnnBcLT8eeX
a7412cd0-e0b8-4fa1-8d24-75bb92a84946,2AHGrNDMKFi8rHqQ8kJqfl
a63b0be7-151d-497c-b564-dd6a3d8c6dc0,0v4Bw7MvgL4SrpGAxPDBry
3e5c0bfb-cca6-4085-a0b3-4afd276d13b9,0Gl6BRzqq9eH8ltCzCPE9P
67f911f6-dbf7-4ad9-a2ed-82484a1f9902,5aEWnrN8h3MhuFUPRfaVuy
e2190b35-1181-44f6-8587-4c04123a6f30,5iWKApUn9IP5vcOv2RKTvs
51c65e0d-76d7-4c93-9a18-2e72e36415ba,1zRwW2z5JOtEgK5OESwlgx
2c031d6d-d486-4237-8edd-85ee917e8a50,6vNr9iwWV2R39TemKlqByk
98fa9782-8e51-4638-98fc-1512441e0d1a,4jQF2fKZDX6pQIPWwsNWyp
21dc853f-9d63-40d9-b90c-781e9138618c,41WV5TRkqaqE84nspGDiXZ
f30118c5-f783-4969-8427-f3c096378267,0XKOBt59crntr7HQXXO8Yz
ed176977-ae5b-4e24-b355-b3feef9b80a4,43SemxN3YCvfB0HzJUWEPF
31e49ee1-444b-4586-a68c-56ae35ba298e,2B7g3x3ODIEjpdoOLIoa2C
602d67d5-2cdd-4f0a-b294-69b5201d79ef,5PgXShpmYjdGFMXDcLo9YW
27fb9eeb-c179-492a-95b7-e540546cbe85,6LGm4xUkJOG0ErPct9a7vY
6ae38268-01a7-413b-8827-80dab10794c9,2GE6MAdyGzeXpY9TwIYd3l
ab06b5e3-ed02-493d-9c4e-8dd489bf56fe,0ef9Xr0Os2WGt1fN4kiClP
3ae60c31-4c13-48e5-a7f2-df4435240b36,3NQiDKgx6FpUyHyEoFAatM
bd2858f6-e551-4bcf-9fdc-da457c95b462,4qsXOlqyWaoFvyRutSbwUd
eff39ac9-2a33-453a-8e7a-ee4799408557,2EjrRJZBrUhYqcgmYF69N1
f3899528-cafe-43e7-8395-91fc6e09b2f8,199mBEiyM3m44pPnOFDvBd
6bbfc71b-5f18-4e61-82fb-bee0c2a6b5f9,3rWZHrfrsPBxVy692yAIxF
b4265534-cf8f-4a8f-827d-fc490ccd15b8,6lDjEqCQQ6acNSzyDYhE75
0e1d8e50-0ad4-484f-950a-d7cc64beb172,0iGkBvuI18nxqJR8Ipg1cu
eb274bec-4432-494b-8a45-74f08d3e59c9,3ZZ9BwdWrBRhqNOvJ2ODNd
8a9d0b90-951e-4ab8-b2dc-9d3618af3d28,1PhE6rv0146ZTQosoPDjk8
024056d4-cb6a-44ff-ae9e-3510fef2bfac,2DYDFBqoaBP2i9XrTGpOgF
80c5f63e-fca6-49d1-b5c5-79cd49b51563,49hxY3aryuNE1UJpuJ0YJf
c18980b6-a89b-4d9b-8467-7b2a98631fe3,4RCALXqxv2udxtuLatKPSi
5e8fd6bd-bbb1-46e7-b2e8-64a3776065d7,3JocMpkgNZFxwybR5isup2
e684ed8b-bced-4e0f-bdfa-462861891409,2JY5qzEozvTdogkDTkkOMf
8743331e-a36a-4920-901b-9b51b246824c,4ADSBPqsGqyAWeQxWQ23SE
65226e23-4b78-45fd-b0cf-9bc0c3124e56,4gI7F56dR6m2slYAMibRoa
1bac9c04-11ac-4728-ac2b-87e4e357941f,7tHd518aPjJYUgyv9bidBz
6d9f615f-1026-4e42-8409-7ed8c7cb227e,3Q9y9Vnp7i1iuHWHuS39ww
85bec8d9-59c4-4051-be75-e0cca7456dc5,6I1r8xKn6bCeionvZVdzdR
9fc727ac-8955-431d-97d0-978b5cfd97c4,4u5yrM5jlC3iviSQQXcMCK
5dc3234a-7019-4af1-abe6-2cb12d2165d9,04ZrBgeey3LoXYNzYpF1Lz
30bc543b-547e-4722-a63c-8f103a28b4b7,5mHoZyR5qy4zrCSAetmwnX
8f4ebd72-0417-4c0b-9639-f4bd031bfb8d,0Ism1B2cF9NxpXAwdUCkxK
15aa7034-fe61-4e07-8a4f-213d1d34f477,3Lf5uaye2qaiLNrNDCLraN
312c7cc1-9b5c-4406-963b-9f73f50674c0,3Vl9fyKMIdLMswk8ai3mm9
20227147-c3aa-44e5-aaf4-4bc5baa1ffaf,4PztbfCny3X9gBjlpgvjYo
